=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.03 12:35:16 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
63.83,0,2.172, ,,,,,,,,,,
63.83,0,2.237, ,,,,,,,,,,
64.14,0,2.248, ,,,,,,,,,,
64.14,0,2.316, ,,,,,,,,,,
64.14,0,2.328, ,,,,,,,,,,
64.34,0,2.34, ,,,,,,,,,,
64.34,0,2.407, ,,,,,,,,,,
64.34,0,2.419, ,,,,,,,,,,
64.07,0,2.43, ,,,,,,,,,,
64.07,0,2.498, ,,,,,,,,,,
64.07,0,2.51, ,,,,,,,,,,
63.94,0,2.522, ,,,,,,,,,,
63.94,0,2.589, ,,,,,,,,,,
63.94,0,2.6, ,,,,,,,,,,
63.82,0,2.613, ,,,,,,,,,,
63.82,0,2.68, ,,,,,,,,,,
63.82,0,2.692, ,,,,,,,,,,
63.94,0,2.704, ,,,,,,,,,,
63.94,0,2.77, ,,,,,,,,,,
63.94,0,2.783, ,,,,,,,,,,
64.05,0,2.795, ,,,,,,,,,,
64.05,0,2.862, ,,,,,,,,,,
64.34,0,2.874, ,,,,,,,,,,
64.34,0,2.941, ,,,,,,,,,,
64.34,0,2.953, ,,,,,,,,,,
64.18,0,2.965, ,,,,,,,,,,
64.18,0,3.033, ,,,,,,,,,,
64.18,0,3.044, ,,,,,,,,,,
64.14,0,3.056, ,,,,,,,,,,
64.14,0,3.123, ,,,,,,,,,,
64.14,0,3.135, ,,,,,,,,,,
63.97,0,3.147, ,,,,,,,,,,
63.97,0,3.214, ,,,,,,,,,,
63.97,0,3.226, ,,,,,,,,,,
64.19,0,3.237, ,,,,,,,,,,
64.19,0,3.305, ,,,,,,,,,,
64.19,0,3.317, ,,,,,,,,,,
63.89,0,3.329, ,,,,,,,,,,
63.89,0,3.396, ,,,,,,,,,,
63.89,0,3.408, ,,,,,,,,,,
64.4,0,3.42, ,,,,,,,,,,
64.4,0,3.487, ,,,,,,,,,,
64.55,0,3.499, ,,,,,,,,,,
64.55,0,3.566, ,,,,,,,,,,
64.55,0,3.578, ,,,,,,,,,,
64.01,0,3.591, ,,,,,,,,,,
64.01,0,3.657, ,,,,,,,,,,
64.01,0,3.67, ,,,,,,,,,,
64.45,0,3.681, ,,,,,,,,,,
64.45,0,3.748, ,,,,,,,,,,
64.45,0,3.761, ,,,,,,,,,,
64.9,0,3.772, ,,,,,,,,,,
64.9,0,3.84, ,,,,,,,,,,
64.9,0,3.851, ,,,,,,,,,,
65.29,0,3.863, ,,,,,,,,,,
65.29,0,3.931, ,,,,,,,,,,
65.29,0,3.942, ,,,,,,,,,,
65.86,0,3.954, ,,,,,,,,,,
65.86,0,4.021, ,,,,,,,,,,
65.86,0,4.033, ,,,,,,,,,,
66.07,0,4.045, ,,,,,,,,,,
66.07,0,4.112, ,,,,,,,,,,
66.07,0,4.124, ,,,,,,,,,,
66.51,0,4.135, ,,,,,,,,,,
66.51,0,4.203, ,,,,,,,,,,
66.51,0,4.215, ,,,,,,,,,,
67.87,0,4.227, ,,,,,,,,,,
67.87,0,4.294, ,,,,,,,,,,
67.87,0,4.305, ,,,,,,,,,,
69.23,0,4.318, ,,,,,,,,,,
69.23,0,4.385, ,,,,,,,,,,
69.23,0,4.397, ,,,,,,,,,,
71.22,0,4.409, ,,,,,,,,,,
71.22,0,4.475, ,,,,,,,,,,
71.22,0,4.488, ,,,,,,,,,,
74.95,0,4.5, ,,,,,,,,,,
74.95,0,4.567, ,,,,,,,,,,
74.95,0,4.579, ,,,,,,,,,,
81,0,4.59, ,,,,,,,,,,
81,0,4.658, ,,,,,,,,,,
89.53,0,4.67, ,,,,,,,,,,
89.53,0,4.738, ,,,,,,,,,,
89.53,0,4.749, ,,,,,,,,,,
105.21,0,4.761, ,,,,,,,,,,
122.46,0,4.83, ,,,,,,,,,,
140.7,300,4.898, ,,,,,,,,,,
155.94,300,4.966, ,,,,,,,,,,
161.63,300,5.035, ,,,,,,,,,,
